order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price
1703458,17/10/2019,14004,Jakarta Selatan,DKI Jakarta,P1910,BRAND_J,10,740000
1706815,24/10/2019,17220,Jakarta Selatan,DKI Jakarta,P2934,BRAND_R,2,604000
1710718,03/11/2019,16518,Jakarta Utara,DKI Jakarta,P0908,BRAND_C,8,1045000
1683592,19/08/2019,16364,Jakarta Barat,DKI Jakarta,P0128,BRAND_A,4,205000
1702573,16/10/2019,15696,Jakarta Timur,DKI Jakarta,P2968,BRAND_R,2,
1672906,16/07/2019,12748,Jakarta Utara,DKI Jakarta,P0710,BRAND_C,4,520000
1711399,04/11/2019,16791,Jakarta Barat,DKI Jakarta,P0860,BRAND_C,1,1465000
1695367,26/09/2019,13069,Surakarta,Jawa Tengah,P3342,BRAND_S,2,205000
1741846,30/12/2019,16873,Jakarta Barat,DKI Jakarta,P3203,BRAND_S,32,450000
1720189,24/11/2019,14723,Tangerang,Banten,P1701,BRAND_H,2,149000
1683583,19/08/2019,13814,Denpasar,Bali,P2864,BRAND_R,6,1045000
1693309,19/09/2019,17841,Jakarta Utara,DKI Jakarta,P1798,BRAND_H,1,604000
1708381,29/10/2019,13895,Tangerang,Banten,P2074,BRAND_L,3,2200000
1705093,21/10/2019,16999,Jakarta Utara,DKI Jakarta,P2521,BRAND_P,4,1745000
1734790,18/12/2019,17422,Jakarta Selatan,DKI Jakarta,P0122,BRAND_A,,695000
1678960,05/08/2019,14552,Tangerang,Banten,P3482,BRAND_S,1,904000
1668715,04/07/2019,13397,Surabaya,Jawa Timur,P1902,BRAND_J,10,740000
1714324,11/11/2019,14096,Surakarta,Jawa Tengah,P2022,BRAND_L,1,1748000
1669411,07/07/2019,15291,Jakarta Pusat,DKI Jakarta,P0931,BRAND_C,4,1395000
1731961,13/12/2019,13880,Bogor,Jawa Barat,P2853,BRAND_R,6,740000
1690672,11/09/2019,15786,Jakarta Selatan,DKI Jakarta,P3273,BRAND_S,12,520000
1709671,31/10/2019,14738,Bandung,Jawa Barat,P4080,BRAND_W,24,113000
1670806,10/07/2019,17651,Jakarta Pusat,DKI Jakarta,,BRAND_J,10,740000
1703659,17/10/2019,12930,Yogyakarta,Yogyakarta,P1741,BRAND_H,6,1045000
1698916,07/10/2019,14110,Bogor,Jawa Barat,P0817,BRAND_C,12,520000
1668391,04/07/2019,15738,Jakarta Selatan,DKI Jakarta,P3409,BRAND_S,12,310000
1702162,15/10/2019,17450,Bogor,Jawa Barat,P3958,BRAND_W,96,
1721629,26/11/2019,16360,Bandung,Jawa Barat,P1879,BRAND_J,1,219000
1718260,19/11/2019,15856,Jakarta Utara,DKI Jakarta,P0456,BRAND_B,10,149000
1719550,22/11/2019,15028,Jakarta Selatan,DKI Jakarta,P3194,BRAND_S,18,1150000
1675705,25/07/2019,16316,Jakarta Timur,DKI Jakarta,P2560,BRAND_P,36,79000
1710385,01/11/2019,13689,Malang,Jawa Timur,P1900,BRAND_J,100,639000
1705585,22/10/2019,13979,Jakarta Pusat,DKI Jakarta,P3592,BRAND_S,3,1745000
1689703,09/09/2019,13621,Jakarta Selatan,DKI Jakarta,P2789,BRAND_P,100,26000
1724590,02/12/2019,15719,Jakarta Barat,DKI Jakarta,P1892,BRAND_J,4,740000
1741561,29/12/2019,13521,Bandung,Jawa Barat,P3344,BRAND_S,2,520000
1715014,12/11/2019,16940,Jakarta Timur,DKI Jakarta,P4064,BRAND_W,4,303000
1697179,01/10/2019,14360,Yogyakarta,Yogyakarta,P2977,BRAND_R,4,1325000
1735633,19/12/2019,17096,Jakarta Selatan,DKI Jakarta,P3285,BRAND_S,4,1325000
1714633,11/11/2019,17757,Tangerang,Banten,P0491,BRAND_B,3,450000
1714369,11/11/2019,16729,Jakarta Utara,DKI Jakarta,P2102,BRAND_L,10,590000
1683103,18/08/2019,15506,Jakarta Pusat,DKI Jakarta,P2411,BRAND_P,1,113000
1688833,05/09/2019,13985,Bekasi,Jawa Barat,P3588,BRAND_S,12,695000
1716136,14/11/2019,14527,Depok,Jawa Barat,P2598,BRAND_P,3,695000
1719328,21/11/2019,15144,Jakarta Barat,DKI Jakarta,P1802,BRAND_H,8,1745000
1705150,22/10/2019,13514,Surabaya,Jawa Timur,P4075,BRAND_W,12,1045000
1725274,03/12/2019,17160,Jakarta Utara,DKI Jakarta,P3045,BRAND_R,12,450000
1707076,25/10/2019,18041,Bekasi,Jawa Barat,P1772,BRAND_H,1,240000
1729846,10/12/2019,17231,Bekasi,Jawa Barat,P3537,BRAND_S,2,1745000
1668991,05/07/2019,17797,Jakarta Selatan,DKI Jakarta,P1983,BRAND_L,1,2900000
1729615,10/12/2019,14725,Jakarta Utara,DKI Jakarta,P0737,BRAND_C,10,310000
1726822,05/12/2019,14096,Surakarta,Jawa Tengah,P0790,BRAND_C,1,1164000
1741513,29/12/2019,17936,Bekasi,Jawa Barat,P0794,BRAND_C,12,159000
1709704,31/10/2019,12923,Jakarta Timur,DKI Jakarta,P0171,BRAND_A,1,1325000
1700752,10/10/2019,18259,Malang,Jawa Timur,P0232,BRAND_A,12,450000
1705618,22/10/2019,13016,Surakarta,Jawa Tengah,P0303,BRAND_B,6,1045000
1702909,16/10/2019,16358,Jakarta Utara,DKI Jakarta,P0623,BRAND_B,10,695000
1731154,12/12/2019,14034,Jakarta Selatan,DKI Jakarta,P0170,BRAND_A,1,1325000
1699750,08/10/2019,15343,Yogyakarta,Yogyakarta,P0061,BRAND_A,2,3144000
1723432,29/11/2019,15453,Jakarta Selatan,DKI Jakarta,P1746,BRAND_H,2,289000
1701385,11/10/2019,18055,Jakarta Selatan,DKI Jakarta,P0002,BRAND_A,4,904000
1672786,16/07/2019,15507,Tangerang,Banten,P1771,BRAND_H,,240000
1689334,06/09/2019,15249,Bekasi,Jawa Barat,P2094,BRAND_L,20,590000
1739824,26/12/2019,16496,Jakarta Timur,DKI Jakarta,P2770,BRAND_P,12,747000
1729900,11/12/2019,13297,Bogor,Jawa Barat,P1686,BRAND_H,72,376000
1706131,23/10/2019,14649,Jakarta Utara,DKI Jakarta,P0898,BRAND_C,1,740000
1722046,27/11/2019,15576,Bogor,Jawa Barat,P2447,BRAND_P,96,884000
1698076,03/10/2019,17634,Jakarta Selatan,DKI Jakarta,P1786,BRAND_H,2,1745000
1737007,22/12/2019,14093,Jakarta Pusat,DKI Jakarta,P1730,BRAND_H,1,450000
1679029,05/08/2019,17340,Tangerang,Banten,P0170,BRAND_A,4,1325000
1681642,13/08/2019,17419,Jakarta Selatan,DKI Jakarta,P4017,BRAND_W,4,1325000
1711783,05/11/2019,13517,Bogor,Jawa Barat,P1744,BRAND_H,4,1465000
1698730,06/10/2019,15502,Jakarta Pusat,DKI Jakarta,P0588,BRAND_B,2,5945000
1675915,26/07/2019,16317,Jakarta Selatan,DKI Jakarta,P3222,BRAND_S,2,2200000
1680688,11/08/2019,14013,Jakarta Barat,DKI Jakarta,P2555,BRAND_P,6,904000
1694569,25/09/2019,12477,Denpasar,Bali,P3077,BRAND_R,12,590000
1699813,08/10/2019,16279,Jakarta Pusat,DKI Jakarta,P2794,BRAND_P,2,747000
1734109,17/12/2019,16474,Jakarta Selatan,DKI Jakarta,P3591,BRAND_S,2,740000
1707676,27/10/2019,16930,Malang,Jawa Timur,P0735,BRAND_C,10,310000
1694182,22/09/2019,16686,Bogor,Jawa Barat,P3008,BRAND_R,1,1745000
1708720,30/10/2019,17511,Tangerang,Banten,P3933,BRAND_W,12,2200000
1726474,04/12/2019,15531,Bogor,Jawa Barat,P1674,BRAND_H,1,747000
1740889,27/12/2019,13780,Jakarta Timur,DKI Jakarta,P3589,BRAND_S,3,1465000
1667545,02/07/2019,16081,Jakarta Utara,DKI Jakarta,P1742,BRAND_H,12,590000
1723444,29/11/2019,18022,Jakarta Selatan,DKI Jakarta,P0132,BRAND_A,1,205000
1688422,03/09/2019,16053,Yogyakarta,Yogyakarta,P0519,BRAND_B,8,310000
1712479,06/11/2019,16753,Surakarta,Jawa Tengah,P0156,BRAND_A,1,2095000
1710577,01/11/2019,17509,Bekasi,Jawa Barat,P3128,BRAND_S,12,450000
1727281,06/12/2019,15965,Tangerang,Banten,P0122,BRAND_A,1,695000
1741570,29/12/2019,17827,Jakarta Barat,DKI Jakarta,P0098,BRAND_A,1,1325000
1740880,27/12/2019,16426,Jakarta Pusat,DKI Jakarta,P0085,BRAND_A,2,450000
1695451,26/09/2019,14298,Yogyakarta,,P2715,BRAND_P,24,904000
1713310,07/11/2019,18160,Malang,Jawa Timur,P3215,BRAND_S,6,1325000
1740184,26/12/2019,14051,Jakarta Selatan,DKI Jakarta,P1681,BRAND_H,48,747000
1682983,16/08/2019,15704,Tangerang,Banten,P1891,BRAND_J,12,740000
1678570,02/08/2019,13955,Depok,Jawa Barat,P2906,BRAND_R,1,
1698607,04/10/2019,15652,Jakarta Selatan,DKI Jakarta,P4017,BRAND_W,2,1325000
1692958,18/09/2019,15059,Surakarta,Jawa Tengah,P1792,BRAND_H,1,1045000
1675603,25/07/2019,13988,Surabaya,Jawa Timur,P4009,BRAND_W,6,1045000
1721692,26/11/2019,16729,Jakarta Utara,DKI Jakarta,P2411,BRAND_P,24,149000
1734868,18/12/2019,17841,Jakarta Utara,DKI Jakarta,P2868,BRAND_R,,904000
1733164,16/12/2019,13167,Tangerang,Banten,P4049,BRAND_W,4,747000
1723633,29/11/2019,17084,Jakarta Selatan,DKI Jakarta,P2769,BRAND_P,6,450000
1707739,28/10/2019,14096,Surakarta,,P3244,BRAND_S,1,873000
1738546,24/12/2019,14191,Bogor,Jawa Barat,P2938,BRAND_R,10,450000
1702447,15/10/2019,16464,Jakarta Selatan,DKI Jakarta,P2097,BRAND_L,1,590000
1716310,14/11/2019,17571,Surakarta,Jawa Tengah,P0187,BRAND_A,1,4195000
1699351,07/10/2019,15673,Jakarta Selatan,DKI Jakarta,P0125,BRAND_A,24,205000
1681231,12/08/2019,17213,Jakarta Pusat,DKI Jakarta,P4075,BRAND_W,6,904000
1679791,08/08/2019,17738,Jakarta Pusat,DKI Jakarta,P2410,BRAND_P,24,113000
1687249,29/08/2019,13969,Surakarta,Jawa Tengah,P2877,BRAND_R,5,747000
1691797,15/09/2019,14895,Malang,Jawa Timur,P0238,BRAND_A,8,1745000
1705693,22/10/2019,17576,Tangerang,Banten,P1685,BRAND_H,2,747000
1673404,18/07/2019,13319,Yogyakarta,Yogyakarta,P2091,BRAND_L,10,590000
1732513,15/12/2019,14159,Jakarta Utara,DKI Jakarta,P2445,BRAND_P,1,205000
1692184,16/09/2019,14505,Jakarta Timur,DKI Jakarta,P2947,BRAND_R,1,2095000
1694917,25/09/2019,12621,Denpasar,Bali,P0114,BRAND_A,10,299000
1704637,20/10/2019,15154,Jakarta Selatan,DKI Jakarta,P0536,BRAND_B,1,450000
1707685,27/10/2019,15547,Depok,Jawa Barat,P0071,BRAND_A,4,695000
1678609,04/08/2019,16283,Jakarta Selatan,DKI Jakarta,P3583,BRAND_S,12,159000
1707649,27/10/2019,15555,Depok,Jawa Barat,P4057,BRAND_W,2,2445000
1706011,23/10/2019,14978,Jakarta Selatan,DKI Jakarta,P0791,BRAND_C,2,1745000
1698886,06/10/2019,15547,Depok,Jawa Barat,P0792,BRAND_C,1,747000
1732315,15/12/2019,18118,Jakarta Selatan,DKI Jakarta,P3481,BRAND_S,3,1745000
1696312,29/09/2019,17050,Bogor,Jawa Barat,P3020,BRAND_R,10,590000
1719556,22/11/2019,17730,Jakarta Pusat,DKI Jakarta,P2606,BRAND_P,12,450000
1687612,30/08/2019,12517,Denpasar,Bali,P3268,BRAND_S,12,450000
1736779,22/12/2019,18156,Malang,Jawa Timur,P0825,BRAND_C,1,450000
1732636,15/12/2019,16931,Jakarta Pusat,DKI Jakarta,P0753,BRAND_C,3,1500000
1723423,29/11/2019,17979,Bekasi,Jawa Barat,P0712,BRAND_C,4,534000
1742869,31/12/2019,17841,Jakarta Utara,DKI Jakarta,P1876,BRAND_J,1,149000
1671277,11/07/2019,12908,Jakarta Selatan,DKI Jakarta,P0263,BRAND_A,600,264000
1673848,18/07/2019,15530,Jakarta Barat,DKI Jakarta,P3194,BRAND_S,6,1150000
1734937,18/12/2019,14032,Yogyakarta,Yogyakarta,P2853,BRAND_R,48,639000
1742041,30/12/2019,13001,Malang,Jawa Timur,P0763,BRAND_C,4,1465000
1707988,28/10/2019,17652,Jakarta Pusat,DKI Jakarta,P2521,BRAND_P,4,1745000
1673869,18/07/2019,18283,Jakarta Selatan,DKI Jakarta,P0066,BRAND_A,1,747000
1710637,03/11/2019,17811,Malang,Jawa Timur,P2637,BRAND_P,1,450000
1705540,22/10/2019,13555,Jakarta Barat,DKI Jakarta,P0376,BRAND_B,18,1024000
1683283,19/08/2019,12474,Denpasar,Bali,P3588,BRAND_S,12,695000
1716886,17/11/2019,16686,Bogor,Jawa Barat,P2996,BRAND_R,4,310000
1668346,04/07/2019,15241,Jakarta Selatan,DKI Jakarta,P2942,BRAND_R,6,904000
1733347,16/12/2019,16549,Jakarta Pusat,DKI Jakarta,P0733,BRAND_C,2,310000
1742038,30/12/2019,18198,Surabaya,Jawa Timur,P1768,BRAND_H,12,240000
1728178,08/12/2019,15411,Jakarta Selatan,DKI Jakarta,P1780,BRAND_H,4,2200000
1669474,07/07/2019,16794,Surakarta,Jawa Tengah,P1742,BRAND_H,4,
1713724,08/11/2019,14592,Yogyakarta,Yogyakarta,P3132,BRAND_S,1,1745000
1686499,28/08/2019,13209,Bekasi,Jawa Barat,P0268,BRAND_A,24,240000
1730065,11/12/2019,16717,Surakarta,Jawa Tengah,P3250,BRAND_S,12,310000
1671934,14/07/2019,15700,Semarang,Jawa Tengah,P0525,BRAND_B,12,604000
1680916,12/08/2019,16511,Jakarta Selatan,DKI Jakarta,P2871,BRAND_R,1,2900000
1704973,21/10/2019,16778,Jakarta Pusat,DKI Jakarta,P3341,BRAND_S,24,205000
1740163,26/12/2019,18122,Jakarta Selatan,DKI Jakarta,P3185,BRAND_S,2,240000
1741561,29/12/2019,13521,Bandung,Jawa Barat,P0840,BRAND_C,2,310000
1711915,05/11/2019,17888,Yogyakarta,Yogyakarta,P0821,BRAND_C,12,310000
1729984,11/12/2019,17377,Jakarta Pusat,DKI Jakarta,,BRAND_J,7,740000
1702429,15/10/2019,14859,Jakarta Selatan,DKI Jakarta,P2458,BRAND_P,8,604000
1737505,23/12/2019,17806,Yogyakarta,Yogyakarta,P3516,BRAND_S,29,310000
1741984,30/12/2019,17218,Malang,Jawa Timur,P2853,BRAND_R,12,740000
