"id","sku_name","base_price","cogs","category"
P798444,AT-FSM-35,57631.7,46052.0,Kids & Baby
P938347,AYS_Haier-18HNF,3931790.0,3499260.0,Appliances
P826364,Atalian _DV206A-Brown-41,324597.0,243426.0,Men Fashion
P467533,Darul_Sakoon_Food_Bundle,2870.42,2378.0,Superstore
P229955,HP_15AY-15-Ay072NIA-ci3,2265620.0,1631250.0,Computing
P985828,UnzeLondon_GS4666-9,202855.0,172376.0,Men Fashion
P381119,UnzeLondon_GS5348-10,202855.0,139954.0,Men Fashion
P499423,UnzeLondon_GS5348-9,202855.0,158224.0,Men Fashion
P672852,Paramount_9781107677364,182857.0,138968.0,School & Education
P447157,Paramount_9781107697690,182857.0,153584.0,School & Education
P346967,AKL_A131128712_SS-48_Yellow,173275.0,103936.0,Women Fashion
P129115,Jaza_2Premium5kg+FOC,99302.4,75458.0,Superstore
P176799,Paramount_9781107657823,96552.6,71398.0,School & Education
P834446,emo_Emo-VB-06 Navy Blue Blazer,93745.4,84332.0,Women Fashion
P948478,Jaza_2Sela5kg+FOC,93502.4,61654.0,Superstore
P674474,AT-CTT-28,74097.9,63684.0,Kids & Baby
P955365,Paramount_9780521186049,64188.6,56434.0,School & Education
P786699,STBB_A Textbook of Biology 1st year by Prof.Majid uz zaffar,8.7,0.0,School & Education
P984532,yamaha_EF12000E,27782000,16947000,Appliances
P225759,Samsung_60KS8000,19168900,12459800,Entertainment
P316076,"samsung_SUHD TVÃ‚Â  KS 8000 60""",19168900,14376700,Entertainment
P448913,voucher,17400000,15660000,Others
P999409,Samsung_55inchesKS8500,16819900,10932900,Entertainment
P792775,Samsung_65KU7000,15398900,10471300,Entertainment
P872944,Samsung_60inchesKU7000,14209900,12362600,Entertainment
P709484,MACBOOK PRO 15-INCH 2.2GHZ QuadCore i7,13630000,8723200.0,Computing
P670559,Apple IMac 27-Inch 3.2GHz quad-core Intel Core i5,13630000,9541000.0,Computing
P670065,s_tv_KDL-60W600B,11062000,7079710.0,Entertainment
P389672,Mitsubishi_MSZ-HJ71VA,10266000,6364920.0,Appliances
P930755,IMAC 21.5-INCH 2.7GHZ QUAD CORE i5,9802000.0,6861400.0,Computing
P677701,s_tv_KDL-50W800C,8789610.0,5976900.0,Entertainment
P579921,MACBOOK PRO 13-INCH 2.7GHZ,8700000.0,5481000.0,Computing
P361624,Samsung_RT85K7110SL,8467940.0,7282420.0,Appliances
P473888,MACBOOK AIR 13-INCH 256 GB Flash Drive,8410000.0,5046000.0,Computing
P876996,ahp_EOS-80D-Digital-SLR-Camera-Black,8410000.0,5466500.0,Entertainment
P902887,Samsung_55inchesK6500,8119940.0,6089940.0,Entertainment
P883614,Samsung_55inchesK6000,7771940.0,5984380.0,Entertainment
P426226,Apple MacBook Air 13-inch 1.6GHz dual-core Intel Core i5,7656000.0,5052960.0,Computing
P314652,Mac Mini 2.8GHz,7540000.0,5956600.0,Computing
P393352,MACBOOK PRO 13-INCH 2.5GHZ 8GBDDR3L,7482000.0,5312220.0,Computing
P678648,Changhong Ruba 55 Inches UD55D6000i Ultra HD TV_clear-CS,7482000.0,5162580.0,Entertainment
P611672,Haier_HPU-48CO3,7368900.0,6558290.0,Appliances
P973490,Samsung_55KU7000,7307940.0,4896300.0,Entertainment
P948018,itech_Apple Macbook Air 13.3  MMG F2,7076000.0,5377760.0,Computing
P984290,Apple iPhone 6S Plus 128GB,7046940.0,4791900.0,Mobiles & Tablets
P504959,ahp_EOS-70D-20.2-MP-Black,7017940.0,6175780.0,Entertainment
P666295,FHM_BOXTER1,6960000.0,4593600.0,Home & Living
P704358,Samsung_RSA1STMG,6959940.0,5776740.0,Appliances
P397123,MACBOOK AIR 11INCH,6902000.0,5314540.0,Computing
P767858,RM_Sony-VPL-EW295,6670000.0,5669500.0,Entertainment
P956221,Samsung_55inchesK5300,6495940.0,4352260.0,Entertainment
P168052,iPhone7Plus-Red-256GB,6487650.0,5125230.0,Mobiles & Tablets
P125789,lenovo_20EV000HUE,6414800.0,4618660.0,Computing
P162958,RM_Sony-KDL-50W800C,6351000.0,5144310.0,Entertainment
P544078,Apple iPhone 6S Plus 64GB,6321940.0,4551780.0,Computing
P812976,Apple iPhone 6 Plus (128GB) Space Grey,6321940.0,5373640.0,Mobiles & Tablets
P640071,Apple iPhone 6S 128GB,6321940.0,4235680.0,Computing
P261079,Apple iPhone 6S 128GB-Gold,6321940.0,4109240.0,Computing
P847388,iPhone7Plus-Jet Black-256GB,6278330.0,4771490.0,Mobiles & Tablets
P709557,hyundai_HGS7250,6147940.0,4365020.0,Appliances
P119266,iPhone7Plus-Matte Black-32GB,5949470.0,3926600.0,Mobiles & Tablets
P965921,iPhone7Plus-Matte Black-128GB,5949470.0,3867150.0,Mobiles & Tablets
P392127,samsung_50 J5500,5891640.0,3652780.0,Entertainment
P442670,iPhone7Plus-Red- 128GB,5889670.0,5241750.0,Mobiles & Tablets
P736074,EcoStar_65U565,5769780.0,4961960.0,Entertainment
P463649,lenovo_20DF000QUE,5730400.0,4584320.0,Computing
P370493,iphone_7-128GB-wof-Jet Black,5707140.0,4736920.0,Mobiles & Tablets
P779734,iPhone7-Red-256GB,5680400.0,4089870.0,Mobiles & Tablets
P878889,plk_FWI/ 927 822_6,5636440.0,4170950.0,Men Fashion
P619324,Samsung_Galaxy_S8_Plus_Black,5626000.0,4782100.0,Mobiles & Tablets
P132718,Samsung_Galaxy_S8_Plus_Gray,5626000.0,4219500.0,Mobiles & Tablets
P418626,Apple iPhone 6S 64GB,5596940.0,3414110.0,Mobiles & Tablets
P748886,Apple iPhone 6 (128GB) Gold,5596940.0,3637990.0,Mobiles & Tablets
P538399,Apple iPhone 6 Plus (64GB) Gold,5596940.0,3470080.0,Mobiles & Tablets
P277058,Apple iPhone 6S Plus 16GB,5596940.0,4365600.0,Mobiles & Tablets
P747668,iphone_7-128GB-wof-Matt Black,5591780.0,4864810.0,Mobiles & Tablets
P358545,Samsung_49K6000,5585340.0,4579970.0,Entertainment
P346696,HP_HP 706n A3 black,5571710.0,4234460.0,Computing
P494921,Kenwood_KEE-240-F,5539000.0,3544960.0,Appliances
P282765,s_tv_KDL-43W800C,5530880.0,3926890.0,Entertainment
P262382,samsung_galaxy-s7-edge-pearl-black,5510000.0,3801900.0,Mobiles & Tablets
P206599,Ricoh_Photo Copier MP2014AD,5442140.0,4516920.0,Entertainment
P180184,cc_Samsung_Galaxy_S8_Plus_Black,5434600.0,4456370.0,Mobiles & Tablets
P553953,cc_Samsung_Galaxy_S8_Plus_Gray,5434600.0,4238990.0,Mobiles & Tablets
P529158,cc_Samsung_Galaxy_S8_Plus_Gold,5434600.0,4673760.0,Mobiles & Tablets
P305199,RM_Panasonic-K18PKF,5342090.0,4059940.0,Appliances
P692465,lenovo_80J2002XUE,5338900.0,3683810.0,Computing
P158959,HP_CP 551dn,5312570.0,3506270.0,Computing
P799304,RM_LG P246SQ,5311580.0,3505640.0,Appliances
P754774,iPhone7- Jet Black-128GB,5291750.0,3227930.0,Mobiles & Tablets
P813488,HP_MFP M435nw (A3 Blk 3 in 1),5228870.0,4287650.0,Computing
P768353,EP_6800 6.3 KVA,5220000.0,3654000.0,Appliances
P390189,agha_AS_SOLEB94_01,5176500.0,3157640.0,Health & Sports
P652031,Samsung-Galaxy-S8-G955-Plus-Black,5170640.0,4033090.0,Mobiles & Tablets
P657861,mm_Samsung Galaxy Note Edge N915,5162000.0,3819880.0,Mobiles & Tablets
P198782,apple_MACMINI 2.3GHZ DUAL CORE i5,5162000.0,4181220.0,Computing
P887897,RM_Sony-DSLR-ILCE-5100Y,5162000.0,3303680.0,Entertainment
P844102,Samsung Galaxy S7 Edge,5161940.0,3355240.0,Mobiles & Tablets
P277486,samsung_K6000 49  ,5150920.0,3760140.0,Entertainment
P291889,iPhone7-Red-128GB,5142280.0,4216660.0,Mobiles & Tablets
P108938,RM_Sony-VPL-EW235,5104000.0,4134240.0,Entertainment
P113237,Samsung_49inchesK5300,5103940.0,3930020.0,Entertainment
P624937,Samsung_Galaxy_S8_black,5046000.0,3734040.0,Mobiles & Tablets
P368790,samsung_50J5100,5002500.0,4352150.0,Entertainment
P133888,Samsung_49K5300,4985330.0,3090880.0,Entertainment
P369657,Kenwood_KDC-2413,4976400.0,4279700.0,Appliances
P386704,Samsung_49inchesK5100,4929940.0,3155140.0,Entertainment
P510854,Samsung_48inchesJ5000,4929940.0,3450940.0,Entertainment
P910456,Apple iPhone 6 (64GB) Silver,4893750.0,3621350.0,Mobiles & Tablets
P943107,cc_Samsung_Galaxy_S8_gold,4872000.0,3020640.0,Mobiles & Tablets
P958489,cc_Samsung_Galaxy_S8_Gray,4872000.0,3897600.0,Mobiles & Tablets
P368181,cc_Samsung_Galaxy_S8_black,4872000.0,3702720.0,Mobiles & Tablets
P894914,Apple iPhone 6 Plus (16GB) Space Grey,4871940.0,3800100.0,Mobiles & Tablets
P701243,Haier_HSU-24-HNH,4869100.0,4333470.0,Appliances
P671747,iphone-7-32gb-wof-Matt Black,4858660.0,4226980.0,Mobiles & Tablets
P776031,iphone-7-32gb-wof-Gold,4858660.0,3692570.0,Mobiles & Tablets
P574816,iphone_7-plus-32gb-wof-Matt Black,4858660.0,3546820.0,Mobiles & Tablets
P563834,iphone_7-plus-32gb-wof-Gold,4858660.0,3255250.0,Mobiles & Tablets
P956651,s_tv_KDL-48R562C,4827280.0,3475590.0,Entertainment
P126290,Sony_48W652D,4760640.0,3475240.0,Entertainment
P838523,EP_5500 5 KVA,4756000.0,3852360.0,Appliances
P392301,Ifitness_T300,4756000.0,3757240.0,Health & Sports
P782682,Apple iPhone 6S Plus 16GB Silver,4734540.0,3787630.0,Mobiles & Tablets
P649809,yamaha_EF2600FW (SELF),4698000.0,3523500.0,Appliances
P446550,Apple iPhone 6S 16GB,4640000.0,3155200.0,Mobiles & Tablets
P895097,Samsung_32inchesK5100,4639940.0,3665540.0,Entertainment
P847761,plk_FWI/ 953 638_9,4638840.0,3757410.0,Men Fashion
P592952,plk_FWI/ 959 080_11,4638840.0,3293530.0,Men Fashion
P616334,plk_FWI/ 953 620_8,4638840.0,4128560.0,Men Fashion
P801710,AYS_18LITH11M,4609840.0,2811960.0,Appliances
P678370,Samsung-Galaxy-S8-G950-Grey,4599400.0,3081600.0,Mobiles & Tablets
P468287,Lenovo_YOGA 500-I5,4591860.0,4040800.0,Computing
P474849,HP_450-G4-Core-i7-7500U,4582000.0,4123800.0,Computing
P479840,samsung_G935F-Blue,4581940.0,2840780.0,Mobiles & Tablets
P780228,samsung_G935F-Black,4581940.0,3848820.0,Mobiles & Tablets
P354092,lenovo_20DF000GUE,4512400.0,3835540.0,Computing
P290209,GMZV_Switch-Console-with-2-Games,4487400.0,3904040.0,Entertainment
P850692,Epson_L1800,4476150.0,4028510.0,Computing
P178030,Xpert_XDW-60-1W,4466000.0,3706780.0,Appliances
P786178,Samsung_Samsung Air Conditioner Digital Inverter Series) - AR12K,4436940.0,2839620.0,Appliances
P491032,Dawlance_Inverter-45 2.0 ton,4413220.0,3177470.0,Appliances
P816897,Dell_Inspiron-15-5567-ci7-4GB,4410320.0,2646190.0,Computing
P751549,samsungGALAXY S-7 EDGE 32GB LTE,4408000.0,3879040.0,Mobiles & Tablets
P501330,sony_DSLR-ILCE-6000L,4408000.0,3438240.0,Entertainment
P297640,sony_SLT-A58Y,4408000.0,3306000.0,Entertainment
P950932,lenovo_80J2001AUE,4395240.0,2681050.0,Computing
P497003,Samsung_RT39K5110SP,4378940.0,3371770.0,Appliances
P957169,sony_DSLR-ILCE-5000Y,4374940.0,3281180.0,Entertainment
P353733,iPhone7-Matte Black -32GB,4364960.0,3535560.0,Mobiles & Tablets
P875936,MotoZ-White-Fine Gold,4349940.0,3044940.0,Mobiles & Tablets
P235780,Apple iPad Mini 3 Wifi 128GB-Space Grey,4349940.0,3914940.0,Computing
P260048,samsungGALAXY S-7 EDGE 32GB Black,4336080.0,3035260.0,Mobiles & Tablets
P833513,Samsung_S7 Edge-Silver,4336080.0,3815700.0,Mobiles & Tablets
P192415,Samsung_S7 Edge-Black,4336080.0,2818450.0,Mobiles & Tablets
P329412,Dawlance_Inverter30Toscana,4332600.0,3812690.0,Appliances
P139750,Haier_HSU-18HZE-R2-DB DC Inverter,4292000.0,3519440.0,Others
P721438,AYS_A-C -18-LNF,4275180.0,3462890.0,Appliances
P616714,dawlance_Toscana30 INVERTER 1.5 Ton AC,4216600.0,3246780.0,Appliances
P669465,AYS_Gree-18cith2,4215440.0,2950810.0,Appliances
P757482,RM_Panasonic-SC-MAX6000,4205000.0,3237850.0,Entertainment
P216553,HP_ 15-AB204TU ,4196880.0,2643990.0,Computing
P923065,Gree_24CZ8,4196300.0,3734680.0,Appliances
P197154,samsungGALAXY NOTE-5 LTE 32GB,4176000.0,2589120.0,Mobiles & Tablets
P505336,huawei_Google Nexus 6P-Silver,4176000.0,2505600.0,Mobiles & Tablets
P383728,Samsung GALAXY NOTE-5,4175940.0,2964900.0,Mobiles & Tablets
P505304,ahp_EOS-750D-24.2-MP-Digital-SLR-Camera-Black,4175940.0,2756100.0,Entertainment
P396546,R&I_Generator 6KVG,4151640.0,3404310.0,Appliances
P136965,Samsung_48inchesK5000,4117940.0,3335520.0,Entertainment
P572907,lenovo_20EV0002UE,4090510.0,2740620.0,Computing
P298843,sukoonbundle-sukoon10-cj_CJPOISL,4065220.0,2642360.0,Others
P683554,cj_CJPOISL,4060000.0,3410400.0,Others
P133996,RM_Panasonic-TH-49D310M,4060000.0,3369800.0,Entertainment
P710606,Changhong Ruba 55 Inches C5000i Smart LED TV_clear,4059940.0,2720140.0,Entertainment
P386755,Changhong Ruba 50 Inches D4000i Smart LED,4054200.0,2594690.0,Entertainment
P166285,plk_FWI/ 947 929_48,4020560.0,2693750.0,Men Fashion
P311129,GMZV_PS4 VR Headset Bundle,4017370.0,3213900.0,Entertainment
